email,category,urgency
I am very satisfied with your service,feedback,low
Great experience overall,feedback,low
Please provide an update on my order,request,low
Please send me the invoice for last month,request,low
Kindly guide me through the process,request,low
Click here to claim your reward,spam,low
Please provide an update on my order,request,medium
Can you help me reset my account password,request,low
Customer support did not respond properly,complaint,high
The product stopped working after one day,complaint,high
Click here to claim your reward,spam,low
I appreciate the quick response,feedback,low
Please send me the invoice for last month,request,medium
Earn money quickly from home,spam,low
Limited offer buy now,spam,low
I am very satisfied with your service,feedback,low
I appreciate the quick response,feedback,low
Can you help me reset my account password,request,medium
I want a refund due to poor service,complaint,high
Can you help me reset my account password,request,low
Please provide an update on my order,request,low
Kindly guide me through the process,request,medium
Earn money quickly from home,spam,low
Congratulations you have won a prize,spam,low
The product stopped working after one day,complaint,medium
The support team was very helpful,feedback,low
I would like to know the status of my request,request,low
Thank you for the excellent service,feedback,low
My issue has not been resolved yet,complaint,high
You have been selected for a free gift,spam,low
You have been selected for a free gift,spam,low
The support team was very helpful,feedback,low
Limited offer buy now,spam,low
Thank you for the excellent service,feedback,low
I am unhappy with the service I received,complaint,medium
I want a refund due to poor service,complaint,high
Please provide an update on my order,request,medium
Please send me the invoice for last month,request,low
Kindly guide me through the process,request,medium
Great experience overall,feedback,low
Limited offer buy now,spam,low
Limited offer buy now,spam,low
Limited offer buy now,spam,low
Click here to claim your reward,spam,low
Limited offer buy now,spam,low
You have been selected for a free gift,spam,low
Thank you for the excellent service,feedback,low
Click here to claim your reward,spam,low
Please provide an update on my order,request,medium
My issue has not been resolved yet,complaint,medium
I appreciate the quick response,feedback,low
The product stopped working after one day,complaint,medium
Great experience overall,feedback,low
Kindly guide me through the process,request,medium
I want a refund due to poor service,complaint,high
I am unhappy with the service I received,complaint,medium
Thank you for the excellent service,feedback,low
Congratulations you have won a prize,spam,low
Customer support did not respond properly,complaint,medium
Limited offer buy now,spam,low
I appreciate the quick response,feedback,low
Can you help me reset my account password,request,medium
Customer support did not respond properly,complaint,high
Congratulations you have won a prize,spam,low
Click here to claim your reward,spam,low
Can you help me reset my account password,request,low
I am unhappy with the service I received,complaint,high
I am unhappy with the service I received,complaint,medium
I am unhappy with the service I received,complaint,medium
I am very satisfied with your service,feedback,low
Please send me the invoice for last month,request,low
Great experience overall,feedback,low
